,mid,uid,个人昵称,个人主页,发布时间,内容来自,展示内容,全部内容,转发数量,评论数量,点赞数量
51,5083171548823646,7228962045,考研斯基,https://weibo.com/7228962045,09月27日 19:40,微博网页版,【潘赟丨25写作基础班笔记-英二】相关微博：✅石雷鹏+潘赟：作文最佳搭配方案！微博正文图片仅展示了部分内容，完整版PDF获取方式：点赞本条微博，加入微博粉丝群，点击群公告获取。#考研##25考研##决战考研##考研写作#​,,1,0,10
52,5083301742122307,5081392594,恰诺_3301,https://weibo.com/5081392594,09月27日 19:37,墨墨背单词,💢entity💢俺踢踢，俺也想踢踢这个实体#我的考研##考研#​,,0,0,0
53,5083301662427402,6586439247,Rui_yo,https://weibo.com/6586439247,09月27日 19:37,vivo S15,好困怎么回事怎么晚上这么困#生活手记##考研#​,,0,0,0
54,5083300585017350,7436863340,fighttingHW,https://weibo.com/7436863340,09月27日 19:32,微博网页版,宪法知识汇总#考研##决战考研#​,,0,0,0
55,5083300575842350,7464257271,希贤simllo,https://weibo.com/7464257271,09月27日 19:32,iPhone客户端,💢sob💢“耸鼻”。哭了耸鼻子#考研##学习打卡#​,,0,0,0
56,5083300429041361,6357170029,阿多欢喜,https://weibo.com/6357170029,09月27日 19:32,iPhone 11,需要学习西音史的同学看过来～～～～价格美丽，入坑不亏有问题随时滴滴#音乐史##西方音乐史##考研##音乐考研#​,,0,0,2
57,5083299918385513,6616219696,四六级一笑而过,https://weibo.com/6616219696,09月27日 19:30,四六级一笑而过超话,快看笑笑子今天在校园里偶遇了谁？宝子们今天有没有在学校看到腿姐和思思老师呀感谢@微博教育让大王和腿姐可以在校园里和大家见面希望以后能有更多机会去到大家身边#腿姐考研政治##周思成##考研#​,,0,0,1
58,5083299213477133,7758662064,睿睿子在养生ye,https://weibo.com/7758662064,09月27日 19:27,墨墨背单词,💢merger💢蚂蚱，因为兼并变成了一条绳上的蚂蚱merger#考研英语##考研#​,,0,1,0
59,5083297790561116,7589967243,风韩不筱寒风,https://weibo.com/7589967243,09月27日 19:21,小米11 青春版,最近主打迷之自信#考研##25考研#​,,0,0,0
60,5083297439026580,7535095669,小杨先生活,https://weibo.com/7535095669,09月27日 19:20,墨墨背单词,💢fracture💢发音“飞来车”，飞来个车就被撞“骨折”了！#考研#​,,0,0,0
61,5083294777738527,5291289886,高译教育,https://weibo.com/5291289886,09月27日 19:09,微博视频号,上外MA翻译学考研备考，翻译综合科目论述题答题思路真题举例考研超话#考研##高译教育#26考研超话25考研超话#翻译学#上海外国语大学考研超话#上外考研##26考研#高译教育的微博视频​,,0,0,0
62,5083292181205109,7891667750,晓晓在努力ing_,https://weibo.com/7891667750,09月27日 18:59,iPhone客户端,#考研#2025考研经综396联考网课真题资料合集🍃网页链接​,,0,0,0
63,5083291046906943,7436863340,fighttingHW,https://weibo.com/7436863340,09月27日 18:54,微博网页版,26考研学习起来，100分！！#25考研##26考研##考研#​,,0,1,0
64,5082911332108037,6041271617,众合法硕教育,https://weibo.com/6041271617,09月27日 18:40,微博网页版,【民法重要知识点的区分】跟着这些表格，再回顾一下吧~法硕超话#考研#考研超话#法硕##法硕技术流#​,,112,31,156
65,5083286445229997,6061121623,如果需要鼓励的话,https://weibo.com/6061121623,09月27日 18:36,iPhone客户端,求你了，千万别改414表面看起来风平浪静无所谓，整个下午心都快死了知道吗很有所谓我嘴硬罢了#考研#​,,0,4,1
66,5083286203009636,7596218186,OxO顾北辰,https://weibo.com/7596218186,09月27日 18:35,iPhone客户端,💢henceforth💢恨死(hence)forth从此以后恩断义绝#考研##考研英语#​,,0,0,0
67,5083286034712516,7395404298,bshtlan,https://weibo.com/7395404298,09月27日 18:34,vivo S9 极夜柔光自拍,学不下去学不下去学不下去怎么办怎么办怎么办啊啊啊啊啊啊啊啊啊啊真的很崩溃啊#考研#​,,0,1,0
68,5083285766015832,1114286271,商志考研英语,https://weibo.com/1114286271,09月27日 18:33,华为 Mate X3 典藏版,快速学历提升通道，免考试录取，可躺平拿双证！考研超话#2025考研##考研#​,,0,1,0
69,5083285493645878,6148226484,_夏深_,https://weibo.com/6148226484,09月27日 18:32,iPhone客户端,🏁墨墨背单词打卡Day131💻累计学习单词：1702个📅今日学习单词：16个🕙今日记忆次数：31次🌟今日重点单词：commit[动]犯（罪、错）；承诺；（公开地）表达意见；投入#考研#​,,0,0,0
70,5083285428634472,6412193015,御稲荷寿司,https://weibo.com/6412193015,09月27日 18:32,iPhone客户端,救命啊，翻硕考研的成百上千个百科词条究竟怎么才能塞到我脑子里！一不留神就全出去了，太痛苦了#考研#日语专业考研超话#西安交通大学##翻硕#​,,0,1,0
71,5083284504054164,7381820765,月月想上岸,https://weibo.com/7381820765,09月27日 18:28,荣耀70 5G,背背背，库库背，普心终于终于背完一遍了，进度确实有点慢，政治最近在刷题，刷的挺浪费题的感觉，英语听斌斌老师的，然后用万词王背晓燕老师的核心单词，昨天傍晚喝了个咖啡，然后晚上睡不着，就打开手机背单词，给我自己感动坏了，今天早上直接没爬起来#考研打卡##347##英语一背单词##考研#​展开,背背背，库库背，普心终于终于背完一遍了，进度确实有点慢，政治最近在刷题，刷的挺浪费题的感觉，英语听斌斌老师的，然后用万词王背晓燕老师的核心单词，昨天傍晚喝了个咖啡，然后晚上睡不着，就打开手机背单词，给我自己感动坏了，今天早上直接没爬起来#考研打卡##347##英语一背单词##考研##凉音大纲解析#,0,0,0
72,5083282779932234,5537467149,海文考研嘻嘻妹,https://weibo.com/5537467149,09月27日 18:22,iPhone客户端,今天多做一点点明天上岸快一点#考研##徐州工程学院##考研数学张宇##海文考研教育#徐州·海文考研(徐州市新城区教学咨询服务中心)​,,0,0,0
73,5083282261937219,5032219317,再吃3亿亿口,https://weibo.com/5032219317,09月27日 18:19,墨墨背单词,💢playhavocwith#学习打卡##考研#​,,0,0,0
74,5083281953918737,7708624300,i自言自语罢了,https://weibo.com/7708624300,09月27日 18:18,HUAWEI Mate 40E,一切顺利！#考研#​,,0,1,0
